0.0000000000e+00  2.6214400000e-01 
1.2500000000e-02  3.3933810937e-01 
2.5000000000e-02  4.2187500000e-01 
3.7500000000e-02  5.0721498437e-01 
5.0000000000e-02  5.9270400000e-01 
6.2500000000e-02  6.7568048437e-01 
7.5000000000e-02  7.5357100000e-01 
8.7500000000e-02  8.2397460938e-01 
1.0000000000e-01  8.8473600000e-01 
1.1250000000e-01  9.3400735937e-01 
1.2500000000e-01  9.7029900000e-01 
1.3750000000e-01  9.9251873437e-01 
1.5000000000e-01  1.0000000000e+00 
1.6250000000e-01  9.9251873438e-01 
1.7500000000e-01  9.7029900000e-01 
1.8750000000e-01  9.3400735938e-01 
2.0000000000e-01  8.8473600000e-01 
2.1250000000e-01  8.2397460938e-01 
2.2500000000e-01  7.5357100000e-01 
2.3750000000e-01  6.7568048437e-01 
2.5000000000e-01  5.9270400000e-01 
2.6250000000e-01  5.0721498437e-01 
2.7500000000e-01  4.2187500000e-01 
2.8750000000e-01  3.3933810938e-01 
3.0000000000e-01  2.6214400000e-01 
3.1250000000e-01  1.9259985938e-01 
3.2500000000e-01  1.3265100000e-01 
3.3750000000e-01  8.3740234375e-02 
3.5000000000e-01  4.6656000000e-02 
3.6250000000e-01  2.1369234375e-02 
3.7500000000e-01  6.8590000000e-03 
3.8750000000e-01  9.2685937500e-04 
4.0000000000e-01  0.0000000000e+00 
4.1250000000e-01  0.0000000000e+00 
4.2500000000e-01  0.0000000000e+00 
4.3750000000e-01  0.0000000000e+00 
4.5000000000e-01  0.0000000000e+00 
4.6250000000e-01  0.0000000000e+00 
4.7500000000e-01  0.0000000000e+00 
4.8750000000e-01  0.0000000000e+00 
5.0000000000e-01  0.0000000000e+00 
5.1250000000e-01  0.0000000000e+00 
5.2500000000e-01  0.0000000000e+00 
5.3750000000e-01  0.0000000000e+00 
5.5000000000e-01  0.0000000000e+00 
5.6250000000e-01  0.0000000000e+00 
5.7500000000e-01  0.0000000000e+00 
5.8750000000e-01  0.0000000000e+00 
6.0000000000e-01  0.0000000000e+00 
6.1250000000e-01  0.0000000000e+00 
6.2500000000e-01  0.0000000000e+00 
6.3750000000e-01  0.0000000000e+00 
6.5000000000e-01  0.0000000000e+00 
6.6250000000e-01  0.0000000000e+00 
6.7500000000e-01  0.0000000000e+00 
6.8750000000e-01  0.0000000000e+00 
7.0000000000e-01  0.0000000000e+00 
7.1250000000e-01  0.0000000000e+00 
7.2500000000e-01  0.0000000000e+00 
7.3750000000e-01  0.0000000000e+00 
7.5000000000e-01  0.0000000000e+00 
7.6250000000e-01  0.0000000000e+00 
7.7500000000e-01  0.0000000000e+00 
7.8750000000e-01  0.0000000000e+00 
8.0000000000e-01  0.0000000000e+00 
8.1250000000e-01  0.0000000000e+00 
8.2500000000e-01  0.0000000000e+00 
8.3750000000e-01  0.0000000000e+00 
8.5000000000e-01  0.0000000000e+00 
8.6250000000e-01  0.0000000000e+00 
8.7500000000e-01  0.0000000000e+00 
8.8750000000e-01  0.0000000000e+00 
9.0000000000e-01  0.0000000000e+00 
9.1250000000e-01  9.2685937500e-04 
9.2500000000e-01  6.8590000000e-03 
9.3750000000e-01  2.1369234375e-02 
9.5000000000e-01  4.6656000000e-02 
9.6250000000e-01  8.3740234375e-02 
9.7500000000e-01  1.3265100000e-01 
9.8750000000e-01  1.9259985937e-01 
1.0000000000e+00  2.6214400000e-01 
